anio,mes,precipitacion_anual_mm,fusion_anual_mm,afluente_m3s,demanda_hm3,temperatura_c
0,0,33.330327589523364,57.363805099019785,8.26047604581037,337.36389873024604,20.30047849277771
0,1,33.330327589523364,57.363805099019785,11.24823171925436,376.01371004134904,23.58087743082124
0,2,33.330327589523364,57.363805099019785,10.88683279858031,332.70730357370593,27.915766639459324
0,3,33.330327589523364,57.363805099019785,5.811421761979215,257.3531930332492,29.07877039458127
0,4,33.330327589523364,57.363805099019785,7.06202509371257,143.9477467132484,27.08351323718793
0,5,33.330327589523364,57.363805099019785,7.412621850195102,128.56609264594667,23.646987344024915
0,6,33.330327589523364,57.363805099019785,4.333324221578568,119.17906640821894,19.46783280716952
0,7,33.330327589523364,57.363805099019785,6.777409117198924,80.63870280363841,16.572397559269888
0,8,33.330327589523364,57.363805099019785,7.954374209581593,229.80901525441783,12.798537697085715
0,9,33.330327589523364,57.363805099019785,9.015690676137927,399.6434597357381,12.080084137086489
0,10,33.330327589523364,57.363805099019785,7.674824342199107,426.5966069198402,13.72958715829347
0,11,33.330327589523364,57.363805099019785,5.140013067821625,370.0492132270019,15.544548141888532
1,0,60.9745516065926,59.59084701665473,7.5285252323869685,432.16426046190344,20.36357203158722
1,1,60.9745516065926,59.59084701665473,6.443311690093321,371.3174039508079,25.617546193255173
1,2,60.9745516065926,59.59084701665473,9.913797432940335,365.92870884246736,26.69551548427218
1,3,60.9745516065926,59.59084701665473,9.752152685265655,264.7453240645214,27.52091935635448
1,4,60.9745516065926,59.59084701665473,7.039983955412453,140.34482899508996,27.478271623367682
1,5,60.9745516065926,59.59084701665473,10.617861383325117,118.82402571026043,23.669990107946468
1,6,60.9745516065926,59.59084701665473,7.380174404904372,68.16198517326451,19.23883586609111
1,7,60.9745516065926,59.59084701665473,8.651527446601358,172.89536521802964,16.320449291332903
1,8,60.9745516065926,59.59084701665473,10.919549373316064,283.9518752164744,14.123934238362239
1,9,60.9745516065926,59.59084701665473,9.426589060046343,301.2220964099668,11.896635090447267
1,10,60.9745516065926,59.59084701665473,7.632478957925819,471.466018196626,14.296507964886407
1,11,60.9745516065926,59.59084701665473,8.409975930753028,313.8881577694508,16.12573614656313
2,0,35.63849346980362,59.7538874121192,13.431456931772164,305.7432684103539,19.12582820061517
2,1,35.63849346980362,59.7538874121192,7.671019163517801,409.67681901223773,24.65130232587661
2,2,35.63849346980362,59.7538874121192,8.891370034916513,301.61136573170353,25.095649823675817
2,3,35.63849346980362,59.7538874121192,6.042685905017188,209.55146562817265,28.196295185478082
2,4,35.63849346980362,59.7538874121192,9.227906250254533,133.1236367335335,26.47741425445058
2,5,35.63849346980362,59.7538874121192,7.245709742214094,130.52994647829806,23.62712557442758
2,6,35.63849346980362,59.7538874121192,9.841551371214518,154.16109036183377,19.550011901677856
2,7,35.63849346980362,59.7538874121192,6.449224037600494,163.44635352962598,14.032250508592064
2,8,35.63849346980362,59.7538874121192,9.44695338246092,309.60290724824426,12.941261555759445
2,9,35.63849346980362,59.7538874121192,8.249830186796853,295.9112778030928,11.602528122297693
2,10,35.63849346980362,59.7538874121192,8.824907763679306,372.78368286881954,12.203443074815375
2,11,35.63849346980362,59.7538874121192,9.162361747194097,301.1146873589741,14.267190286645874
3,0,59.618387686403054,61.68737455313425,9.710770888342541,313.8087057403319,22.097664759522083
3,1,59.618387686403054,61.68737455313425,6.426440334559469,422.9265846900002,24.726982185995418
3,2,59.618387686403054,61.68737455313425,4.421613779679081,327.06785572209196,26.855719129956807
3,3,59.618387686403054,61.68737455313425,7.898340388402799,266.36952823361247,28.911270817541748
3,4,59.618387686403054,61.68737455313425,9.559125564718013,130.35728003799215,27.44748183333042
3,5,59.618387686403054,61.68737455313425,5.901458265498021,145.2960765480529,23.61378943321082
3,6,59.618387686403054,61.68737455313425,10.253165875791296,128.02410574810494,21.76117752894742
3,7,59.618387686403054,61.68737455313425,6.354158163160622,163.06310438397017,15.79179201908964
3,8,59.618387686403054,61.68737455313425,8.44087682279997,275.22724345102154,13.833083258853867
3,9,59.618387686403054,61.68737455313425,8.200751054018665,334.1448565487361,12.275799172091059
3,10,59.618387686403054,61.68737455313425,8.302130016650489,370.78640989911247,12.49134989447291
3,11,59.618387686403054,61.68737455313425,10.888787620584921,421.0165382629409,15.159937642852269
4,0,60.36069811406291,56.96721373187688,5.827239100999018,265.8954499177882,17.844920124289306
4,1,60.36069811406291,56.96721373187688,6.241860317930028,426.1731584668425,24.209281213158537
4,2,60.36069811406291,56.96721373187688,7.1708855142505685,312.3261151837647,27.620347677618017
