mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
0,1760.0,0.6330935251798561,96.86904198979128,7749523.359183303,449.0,157.11,0.3499109131403118,1200.0,120.0,200.0,240.0,0.5,0.8,0.65,0.65,80.21508620689654,1.691,5.724980625000001,9.237975157894736,0,0,1
1,1641.9623498799147,0.5906339388057247,103.21543943607652,8257235.154886123,493.0,172.47000000000003,0.3498377281947262,1132.7650826260988,109.24313346841832,184.6304192279868,215.32371455741082,0.5,0.8,0.65,0.65,85.96683675486037,1.761810924878761,5.949635683502345,9.53715607283505,0,0,1
2,1556.7604530119595,0.5599857744647336,96.11708580103056,7689366.864082444,470.0,164.4,0.3497872340425532,1082.893982207152,102.64816622599508,174.72961456211186,196.48869001670062,0.5,0.8,0.65,0.65,80.29895776152604,1.6087386648152895,5.510806409241347,8.698582965447875,0,0,1
3,1484.389141616535,0.5339529286390413,62.900961716607014,5032076.937328561,314.0,109.86,0.3498726114649682,1040.5673365304713,97.75570821236175,166.2286208782675,179.8374759954344,0.5,0.8,0.65,0.65,52.72550691925806,1.0543568580188127,3.540355538262746,5.5807424010674005,0,0,1
4,1436.2480204577125,0.516635978581911,55.685962520516355,4454877.001641308,180.0,92.34388185818055,0.5130215658787809,1012.804220853147,94.03017156027951,160.9420939151376,168.47153412914847,0.7610516656250461,1.0,1.0,0.9353324470920483,45.34048240120547,2.0554508832516585,3.8044835567479662,4.4855456793112625,0,0,1
5,1456.5759195289256,0.5239481724924193,61.08791997051489,4887033.597641191,155.0,88.37616037785669,0.5701687766313335,1025.7990411490216,95.34168083075616,162.36001451492,173.07518303422773,0.9114206968938062,1.0,1.0,1.0,47.49300920639245,2.7035362021877534,5.0424508080146495,5.848923753920039,0,0,1
6,1475.3751482242951,0.5307104849727681,42.2597895606272,3380783.164850176,155.0,72.29551565327684,0.4664226816340441,1037.6556574833196,96.62250892279566,163.79964872366514,177.29733309451458,0.6663605212299266,1.0,0.9722342953638591,0.8320691808202147,34.89198616759806,1.313846895355399,2.5666437202977663,3.4873127773759727,0,0,1
7,1492.9459127956707,0.5370309038833347,55.19860710249954,4415888.568199962,224.0,96.26308874509026,0.42974593189772436,1048.5468182071552,97.90629446656072,165.2923791794989,181.20042094245585,0.6077806631419044,1.0,0.8642752846365322,0.7573592676359526,45.92818585481758,1.2880333716449393,3.336428732140965,4.645959143896053,0,0,1
8,1509.1813893455271,0.5428710033617004,72.4329543016301,5794636.344130408,359.0,125.61000000000001,0.34988857938718665,1058.4850985788387,99.14130953001548,166.77546074125374,184.77952049541923,0.5,0.8,0.6500000000000001,0.65,60.69763414441838,1.2141870489301294,4.098994091071352,6.422139017210236,0,0,1
9,1474.5974386775952,0.5304307333372644,89.54490512454127,7163592.409963302,449.0,156.54580391265776,0.3486543516985696,1037.4115292833585,97.7324214788555,163.5533433657892,175.90014454959183,0.5,0.8,0.635533433657892,0.65,75.22530210559273,1.5060306477510266,4.952696916269091,7.860875454928425,0,0,1
