mes,entrada_agua_hm3,temperatura_c
0,113.08461514857738,20.30047849277771
1,133.9941244536078,23.58087743082124
2,131.46491024716258,27.915766639459324
3,95.94515364861343,29.07877039458127
4,104.69737600541615,27.08351323718793
5,107.1509923459835,23.646987344024915
6,85.60083582187353,19.46783280716952
7,102.70551955538305,16.572397559269888
8,110.9423920579139,12.798537697085717
9,118.36990921746175,12.080084137086487
10,108.98599026602432,13.72958715829347
11,91.24636704342095,15.544548141888532
12,128.09263727512737,20.36357203158722
13,120.49787882073953,25.617546193255173
14,144.78572624348007,26.69551548427218
15,143.65447164135358,27.52091935635448
16,124.67363000234893,27.47827162336768
17,149.7130473938529,23.669990107946468
18,127.05441884407317,19.23883586609111
19,135.95185597108537,16.320449291332903
20,151.82438062300554,14.12393423836224
21,141.37604716661872,11.896635090447267
22,128.82014702793848,14.296507964886407
23,134.26138184257238,16.12573614656313
24,155.44421389594785,19.12582820061517
25,115.13036621859652,24.65130232587661
26,123.67086975699327,25.095649823675817
27,103.73463874230585,28.19629518547808
28,126.02608480641489,26.47741425445058
29,112.15388076454467,23.62712557442758
30,130.32061882094123,19.550011901677856
31,106.57975520937686,14.032250508592064
32,127.55906425644805,12.941261555759445
33,119.18111728391264,11.602528122297691
34,123.20574019796679,12.203443074815375
35,125.56737815619672,14.267190286645874
36,146.8465433991583,22.097664759522083
37,123.86148445156283,24.726982185995418
38,109.83090628988793,26.855719129956807
39,134.16242978838,28.911270817541748
40,145.7852687663044,27.44748183333042
41,120.18744993944318,23.61378943321082
42,150.64244047931967,21.76117752894742
43,123.35562490324513,15.79179201908964
44,137.95931677086514,13.833083258853868
45,136.27882059062608,12.27579917209106
46,136.98831112270864,12.49134989447291
47,155.09077569808335,15.159937642852269
48,110.56015284505577,17.844920124289306
49,113.46183796962572,24.209281213158537
50,119.96352790355539,27.620347677618017
51,129.8988399039637,26.333405491087127
52,114.50857770228579,26.97705007845343
53,144.8840410524084,24.362879003399
54,126.95520451568959,19.802369058005574
55,125.75463280959104,14.752934885272522
56,120.17927802561499,13.956558171255
57,139.3697487347135,10.716263868971172
58,145.73591611912184,14.797178616608036
59,92.15613727089683,14.77611077275416
60,137.77767271539201,20.276526802053755
61,115.28585937447971,23.435919998518315
62,136.04511400947942,25.669002795196675
63,132.97511192907885,29.98004260896881
64,134.56773245697184,25.513513832939974
65,128.8451502360493,23.645830702468423
66,124.04690039561237,21.40742063128885
67,141.455675709428,15.985884061888948
68,117.27150785192688,13.564159478946616
69,150.48782651255993,12.955444148667333
70,140.5755720844221,14.48539065996939
71,112.48443418200435,17.949132608012658
72,84.68656922989179,19.329253514642676
73,130.01663470407135,23.261987040448904
74,105.74873831353673,26.582887655033318
75,92.63982113180015,28.77696859480705
76,120.23523751986686,28.11493810740864
77,108.87496364752671,23.37915430745423
78,114.08627311575448,22.08656564231685
79,107.55363687161919,14.992522296210083
80,108.76690054147119,11.812615251273138
81,115.89780089305854,11.453636159448816
82,119.04970386856617,13.576700974415846
83,80.58191829079011,15.504212597945768
84,112.07134267540084,21.436608825440345
85,123.1663359544032,23.58028674475639
86,127.7586547870841,28.347794151850632
87,108.50695370438073,30.405744089145504
88,112.14537057905646,28.66858932402529
89,102.26913242412888,25.319763394945035
90,89.27649629193884,19.928759948727357
91,105.41260364689172,16.867381533755815
92,120.44484354037466,14.21024164419247
93,111.95498918607797,12.322648256617578
94,128.83108184063138,13.518581916837013
95,104.95343984363406,17.10687821926269
96,137.30352663831206,19.770640150274104
97,128.31852002118958,23.710266098042453
98,136.5689299067272,26.6899823170524
99,120.48704910248047,27.745708269568595
100,128.91604153302254,27.34192430407188
101,129.91137782830555,23.85374534287875
102,134.03746768676245,19.966638550026616
103,157.55370614670062,15.222871698731456
104,113.62816850837456,13.115996806996089
105,142.81373820621027,11.439567778324804
106,121.48535747108147,14.417246463606109
107,132.35111981245808,13.906478574576346
108,136.7063963011444,19.93676002807185
109,140.27905993549288,23.95938660925631
110,161.58224195738987,27.035417050856665
111,136.44747877175,27.88499255543103
112,164.8316366642541,27.57065450390788
113,125.40713684302942,24.57075360107944
114,141.45362995740865,19.25020585267612
115,135.04542597735335,16.30885172899236
116,124.61817534103743,12.58502101109727
117,145.3858559389307,12.65788400493534
118,131.50469136346865,12.794585760089728
119,151.5936592954965,15.139785912363378
