mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Conviene Riego,Conviene Energia
13,1688.3867034304067,0.6073333465577002,138.7013643009029,11096109.144072233,493.0,226.1344731568195,0.45869061492255475,1154.5938035258155,109.15929172338245,204.05250365451806,220.58110452669075,0.6558023352588541,1.0,0.9159032929955083,0.8316957890851436,113.7210359278442,3.6944639728145994,8.92448373989454,12.361380660349553,0,1
14,1682.4753692134789,0.605206967342978,167.91587038118027,13433269.630494421,470.0,253.99225514265646,0.5404090534950138,1152.6472539632887,108.58980888547501,201.49479185821053,219.7435145065046,0.8295756127096332,1.0,0.9701708045270125,1.0,136.95034966664923,5.840536080243751,8.981556259097712,16.143428375189576,0,1
15,1701.128000335144,0.6119165468831453,214.55804459711732,17164643.567769386,314.0,188.4,0.6,1150.8317770079532,113.65599687628249,217.6784736727745,218.96175277813384,1.0,1.0,1.0,1.0,161.22062139561945,9.609626519145873,19.311369687335258,24.416426995016757,0,1
16,1696.9560942898,0.6104158612553238,228.7090192803982,18296721.542431857,180.0,108.0,0.6,1149.1511453312096,112.86881098664823,216.69861833009202,218.23751964185016,1.0,1.0,1.0,1.0,171.70166321764978,10.008603711246105,20.852706188387057,26.146046163115273,0,1
17,1689.863536735988,0.6078645815597079,298.7479112530809,23899832.90024647,155.0,93.0,0.6,1147.6518153540503,111.7493197388099,212.87160063859434,217.59080100453332,1.0,1.0,1.0,1.0,227.79075657545633,12.127810641042517,23.798004896726333,35.03133913985569,0,1
18,1702.6871735769641,0.6124774005672533,246.33621789963564,19706897.43197085,155.0,93.0,0.6,1146.5781451866478,117.06189865825074,221.9207232733532,217.12640645871247,1.0,1.0,1.0,1.0,184.10240693636314,11.07633179444951,22.92158979670704,28.235889372115945,0,1
19,1696.4817206025582,0.6102452232383303,236.70523050131368,18936418.440105096,224.0,134.4,0.6,1145.928573075316,115.73440949819035,217.9749078525022,216.8438301765495,1.0,1.0,1.0,1.0,177.2167653086851,10.632435650671686,21.868255632646697,26.987773909310178,0,1
20,1691.4549452478634,0.6084370306646991,210.2390464811889,16819123.71849511,359.0,215.4,0.6,1145.5522081421307,114.69384671907673,214.53034002322016,216.67855036343587,1.0,1.0,1.0,1.0,160.51387758614607,9.007658438841496,16.458327994183,24.25918246201833,0,1
21,1704.9271322827822,0.6132831411089145,171.12533737015144,13690026.989612116,449.0,246.45209553291608,0.5488910813650693,1145.3695318815587,118.85129637913586,224.10974014511166,216.59656387697598,0.8470139702194405,1.0,1.0,1.0,133.04640658751396,7.2702959059995225,14.7122212614177,16.096413615220246,0,1
22,1699.8293638926987,0.6114494114721938,148.68795503430974,11895036.40274478,515.0,241.64960142752267,0.46922252704373335,1145.3621486579532,117.58808528588517,220.28910342743734,216.59002652142297,0.6709772671081451,1.0,0.953060092976254,0.8505459705443476,120.99321515135291,4.46239458195592,10.16939009493493,13.06295520606597,0,1
23,1694.809225361876,0.6096436062452791,157.68028328896133,12614422.663116908,470.0,243.63486042677425,0.5183720434612218,1145.187557699037,116.39082941781726,216.7186571226952,216.51218112232658,0.7666954624949225,1.0,1.0,0.9679987447456898,126.2018927937846,6.009484858630934,11.84358529109405,13.625320345451756,0,1
24,1689.9656217927818,0.6079013028031589,186.94165151517223,14955332.121213779,449.0,259.33307937831887,0.5775792413771021,1144.903445007076,115.27389876454225,213.40062489084718,216.38765313031638,0.9328871958554593,1.0,1.0,1.0,146.50842643833928,7.478079341090211,12.695815915937775,20.25932981980496,0,1
