anio,mes,precipitacion_anual_mm,fusion_anual_mm,afluente_m3s,demanda_hm3,temperatura_c
0,0,287.92700607088335,536.731322376475,93.90714068715555,240.97421337874715,20.30047849277771
0,1,287.92700607088335,536.731322376475,138.7234757888154,268.5812214581064,23.58087743082124
0,2,287.92700607088335,536.731322376475,133.30249197870467,237.64807398121852,27.915766639459324
0,3,287.92700607088335,536.731322376475,57.17132642968822,183.82370930946374,29.07877039458127
0,4,287.92700607088335,536.731322376475,75.93037640568855,102.8198190808917,27.08351323718793
0,5,287.92700607088335,536.731322376475,81.18932775292652,91.83292331853335,23.646987344024915
0,6,287.92700607088335,536.731322376475,34.99986332367852,85.12790457729923,19.46783280716952
0,7,287.92700607088335,536.731322376475,71.66113675798385,57.5990734311703,16.572397559269888
0,8,287.92700607088335,536.731322376475,89.3156131437239,164.14929661029845,12.798537697085715
0,9,287.92700607088335,536.731322376475,105.23536014206891,285.45961409695576,12.080084137086489
0,10,287.92700607088335,536.731322376475,85.12236513298662,304.7118620856002,13.72958715829347
0,11,287.92700607088335,536.731322376475,47.10019601732437,264.3208665907157,15.544548141888532
1,0,474.12688932398186,590.1803283997135,82.92787848580453,308.68875747278815,20.36357203158722
1,1,474.12688932398186,590.1803283997135,66.64967535139982,265.2267171077199,25.617546193255173
1,2,474.12688932398186,590.1803283997135,118.70696149410503,261.37764917319095,26.69551548427218
1,3,474.12688932398186,590.1803283997135,116.28229027898482,189.10380290322962,27.52091935635448
1,4,474.12688932398186,590.1803283997135,75.59975933118679,100.24630642506425,27.478271623367682
1,5,474.12688932398186,590.1803283997135,129.26792074987674,84.87430407875746,23.669990107946468
1,6,474.12688932398186,590.1803283997135,80.70261607356558,48.6871322666175,19.23883586609111
1,7,474.12688932398186,590.1803283997135,99.77291169902037,123.49668944144975,16.320449291332903
1,8,474.12688932398186,590.1803283997135,133.79324059974095,202.8227680117674,14.123934238362239
1,9,474.12688932398186,590.1803283997135,111.39883590069513,215.15864029283344,11.896635090447267
1,10,474.12688932398186,590.1803283997135,84.48718436888728,336.76144156901864,14.296507964886407
1,11,474.12688932398186,590.1803283997135,96.14963896129541,224.20582697817915,16.12573614656313
2,0,304.0293890690624,594.0932978908608,171.47185397658245,218.3880488645385,19.12582820061517
2,1,304.0293890690624,594.0932978908608,85.06528745276701,292.62629929445546,24.65130232587661
2,2,304.0293890690624,594.0932978908608,103.3705505237477,215.4366898083597,25.095649823675817
2,3,304.0293890690624,594.0932978908608,60.64028857525783,149.67961830583764,28.196295185478082
2,4,304.0293890690624,594.0932978908608,108.418593753818,95.08831195252392,26.47741425445058
2,5,304.0293890690624,594.0932978908608,78.68564613321142,93.2356760559272,23.62712557442758
2,6,304.0293890690624,594.0932978908608,117.62327056821775,110.11506454416697,19.550011901677856
2,7,304.0293890690624,594.0932978908608,66.73836056400742,116.74739537830426,14.032250508592064
