mes,entrada_agua_hm3,temperatura_c
0,75.38974343238493,20.30047849277771
1,89.32941630240519,23.58087743082124
2,87.64327349810839,27.915766639459324
3,63.96343576574228,29.07877039458127
4,69.79825067027743,27.08351323718793
5,71.43399489732234,23.646987344024915
6,57.06722388124902,19.46783280716952
7,68.47034637025536,16.572397559269888
8,73.96159470527594,12.798537697085717
9,78.91327281164116,12.080084137086487
10,72.65732684401621,13.72958715829347
11,60.83091136228063,15.544548141888532
12,85.39509151675159,20.36357203158722
13,80.33191921382635,25.617546193255173
14,96.52381749565338,26.69551548427218
15,95.76964776090239,27.52091935635448
16,83.11575333489928,27.47827162336768
17,99.8086982625686,23.669990107946468
18,84.70294589604877,19.23883586609111
19,90.63457064739023,16.320449291332903
20,101.21625374867037,14.12393423836224
21,94.25069811107915,11.896635090447267
22,85.88009801862565,14.296507964886407
23,89.50758789504826,16.12573614656313
24,103.62947593063191,19.12582820061517
25,76.75357747906435,24.65130232587661
26,82.44724650466217,25.095649823675817
27,69.1564258282039,28.19629518547808
28,84.01738987094325,26.47741425445058
29,74.76925384302977,23.62712557442758
30,86.88041254729416,19.550011901677856
31,71.05317013958458,14.032250508592064
32,85.03937617096537,12.941261555759445
33,79.4540781892751,11.602528122297691
34,82.13716013197786,12.203443074815375
35,83.71158543746448,14.267190286645874
36,97.89769559943886,22.097664759522083
37,82.57432296770855,24.726982185995418
38,73.22060419325862,26.855719129956807
39,89.44161985891999,28.911270817541748
40,97.19017917753625,27.44748183333042
41,80.12496662629546,23.61378943321082
42,100.42829365287979,21.76117752894742
43,82.23708326883009,15.79179201908964
44,91.97287784724342,13.833083258853868
45,90.85254706041738,12.27579917209106
46,91.32554074847242,12.49134989447291
47,103.39385046538891,15.159937642852269
48,73.7067685633705,17.844920124289306
49,75.64122531308382,24.209281213158537
50,79.97568526903693,27.620347677618017
51,86.59922660264246,26.333405491087127
52,76.33905180152385,26.97705007845343
53,96.58936070160561,24.362879003399
54,84.63680301045972,19.802369058005574
55,83.8364218730607,14.752934885272522
56,80.11951868374332,13.956558171255
57,92.91316582314235,10.716263868971172
58,97.15727741274789,14.797178616608036
59,61.43742484726456,14.77611077275416
60,91.85178181026134,20.276526802053755
61,76.85723958298648,23.435919998518315
62,90.69674267298628,25.669002795196675
63,88.65007461938589,29.98004260896881
64,89.71182163798123,25.513513832939974
65,85.89676682403287,23.645830702468423
66,82.69793359707491,21.40742063128885
67,94.30378380628532,15.985884061888948
68,78.18100523461793,13.564159478946616
69,100.32521767503995,12.955444148667333
70,93.71704805628141,14.48539065996939
71,74.9896227880029,17.949132608012658
72,56.45771281992786,19.329253514642676
73,86.67775646938091,23.261987040448904
74,70.49915887569115,26.582887655033318
75,61.759880754533434,28.77696859480705
76,80.15682501324457,28.11493810740864
77,72.58330909835114,23.37915430745423
78,76.05751541050299,22.08656564231685
79,71.70242458107947,14.992522296210083
80,72.51126702764746,11.812615251273138
81,77.26520059537236,11.453636159448816
82,79.36646924571079,13.576700974415846
83,53.721278860526745,15.504212597945768
84,74.71422845026723,21.436608825440345
85,82.11089063626879,23.58028674475639
86,85.17243652472273,28.347794151850632
87,72.33796913625382,30.405744089145504
88,74.76358038603765,28.66858932402529
89,68.17942161608592,25.319763394945035
90,59.517664194625894,19.928759948727357
91,70.27506909792781,16.867381533755815
92,80.29656236024978,14.21024164419247
93,74.63665945738532,12.322648256617578
94,85.88738789375425,13.518581916837013
95,69.96895989575603,17.10687821926269
96,91.53568442554138,19.770640150274104
97,85.5456800141264,23.710266098042453
98,91.04595327115146,26.6899823170524
99,80.32469940165365,27.745708269568595
100,85.9440276886817,27.34192430407188
101,86.60758521887037,23.85374534287875
102,89.35831179117497,19.966638550026616
103,105.03580409780042,15.222871698731456
104,75.75211233891638,13.115996806996089
105,95.20915880414019,11.439567778324804
106,80.99023831405431,14.417246463606109
107,88.23407987497205,13.906478574576346
108,91.13759753409627,19.93676002807185
109,93.51937329032859,23.95938660925631
110,107.72149463825993,27.035417050856665
111,90.96498584783335,27.88499255543103
112,109.8877577761694,27.57065450390788
113,83.60475789535295,24.57075360107944
114,94.30241997160576,19.25020585267612
115,90.03028398490223,16.30885172899236
116,83.07878356069162,12.58502101109727
117,96.92390395928713,12.65788400493534
118,87.66979424231243,12.794585760089728
119,101.062439530331,15.139785912363378
