mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
10,223.14540013381782,0.08026812954453878,0.0,0.0,515.0,0.0,0.0,86.4877269591225,11.864879954401966,93.85458184952931,30.938211370764037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
11,247.40532588562755,0.08899472154159264,0.019433073210107305,1554.6458568085843,470.0,0.17773963185034888,0.0003781694294688274,100.34850908205951,14.425921479955786,97.59806060047815,35.032834723134116,0.0011306592356892422,0.0,0.0,0.0,0.019433073210107305,0.0,0.0,0.0,1,1,0
12,282.99823147980885,0.101797924992737,1.227382169160089,98190.57353280712,449.0,12.716772028002755,0.028322432133636423,120.41838516356827,18.314298918864736,103.0216201300806,41.2439272672952,0.06942250955613213,0.0,0.04183781718573147,0.013327792149591415,1.1536330131597927,0.0,0.0527294649547056,0.0210196910455906,1,1,0
13,292.44258758846627,0.10519517539153463,1.3006756220162703,104054.04976130163,493.0,16.992719731834278,0.03446799134246304,119.48942093234521,21.946835401095775,105.11450716405878,45.89182409096646,0.06024002833633974,0.03362715692801793,0.06483178095285776,0.05763740958554145,1.1004800331106748,0.008532055264593138,0.09010330624489865,0.10156022739610372,1,1,0
14,288.20888471220934,0.10367226068784509,1.0901486019788105,87211.88815830485,470.0,14.827871785182314,0.031548663372728325,116.35292578127938,22.85539380092201,104.16184684793429,44.83871828207365,0.0530533851682728,0.052165848286075164,0.0550832671050126,0.04948689152120778,0.9214873253332772,0.01262158497039607,0.0730047197881789,0.08303497188695846,1,1,0
15,271.5245232832589,0.09767069182851039,0.4713371219692844,37706.96975754275,314.0,6.027662271837623,0.01919637666190326,107.30217292983431,20.78282955909512,101.59092830698575,41.84859248734371,0.03546769708776666,0.021248230889724683,0.031818566139714906,0.028198868451005724,0.4090434844886967,0.003392924365366414,0.027581802198701683,0.0313189109165196,1,1,0
16,259.0316681254198,0.09317685903792079,0.02437938238640186,1950.3505909121488,180.0,0.22296672400318682,0.0012387040222399267,100.43718965490821,19.28027435112893,99.7136928894509,39.60051122993179,0.0037161120667197805,0.0,0.0,0.0,0.02437938238640186,0.0,0.0,0.0,1,1,0
17,249.9280595986438,0.08990217971174237,0.0,0.0,155.0,0.0,0.0,96.15552311178234,17.66353079058947,98.2985986342584,37.810407062013596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
18,237.80011166073615,0.08553960851105617,0.0,0.0,155.0,0.0,0.0,90.34857601093294,15.664273040654823,96.39612869329676,35.39113391585161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
19,225.0500835413477,0.08095326746091644,0.0,0.0,224.0,0.0,0.0,84.09571590989854,13.648541619386458,94.4567251040545,32.8491009080082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
