mes,entrada_agua_hm3,temperatura_c
0,9.34099670230208,20.987563409183817
1,8.193700088209102,25.07877039458127
2,5.498390331400472,27.08351323718793
3,3.2132828070105033,27.646987344024915
4,1.8075960711270136,26.39603603744503
5,1.14395244489597,24.572397559269884
6,0.9208884170662178,19.72674092736122
7,1.157398124305071,16.08008413708649
8,2.2987643623337104,13.729587158293471
9,4.537220583186638,11.544548141888535
10,7.347684416409432,13.43536880131171
11,9.589618929958737,17.61754619325517
12,9.33484345858636,19.76731225399667
13,8.394345862764284,23.52091935635448
14,5.522940636044742,27.47827162336768
15,3.280610933170186,27.669990107946468
16,1.8449070049728042,26.167039096366626
17,1.1603403325780062,24.3204492913329
18,0.9395311162157173,21.052137468637746
19,1.1659891036610044,15.89663509044727
20,2.309923095337488,14.296507964886407
21,4.634597804796928,12.125736146563137
22,7.599847871183116,12.197624970339662
23,9.689570253099152,16.651302325876607
24,9.211388080204168,18.16744659340031
25,8.170542986458976,24.19629518547808
26,5.537231604323358,26.477414254450576
27,3.1978685006672873,27.62712557442758
28,1.8517662455826618,26.47821513195337
29,1.1375142882066192,22.03225050859206
30,0.9242643355066318,19.869464786034957
31,1.1484599214519922,15.602528122297697
32,2.3031830495774814,12.203443074815375
33,4.612904731132616,10.267190286645878
34,7.399961136047246,15.169461529246576
35,9.550358989561332,16.72698218599541
36,8.936773172092456,19.9275158996813
37,8.188867413147566,24.911270817541748
38,5.508274763153713,27.447481833330414
39,3.1538853319240676,27.61378943321082
40,1.8432930924239164,28.68938075922293
41,1.129183180580762,23.791792019089637
42,0.9137350872228154,20.76128648912937
43,1.1410404239532335,16.275799172091062
44,2.2821754184936176,12.491349894472911
45,4.6214286446728545,11.159937642852272
46,7.20253596984696,10.916716894013796
47,9.470716488407472,16.209281213158533
48,9.058999997164166,20.69214444734251
49,8.212489840979742,22.333405491087127
50,5.416022510668437,26.977050078453427
51,3.2306851050203247,28.362879003399
52,1.8226764342088715,26.73057228828109
53,1.138033527164761,22.75293488527252
54,0.9073760039538598,20.884761401530504
55,1.1504895994546436,14.716263868971176
56,2.3104793355310203,14.797178616608036
57,4.439028981177783,10.776110772754162
58,7.320746618021473,13.348323571778243
59,9.44805373519504,15.43591999851831
60,9.265134015128591,18.74079956492117
61,8.319786612763716,25.98004260896881
62,5.557724754932889,25.51351383293997
63,3.2295158909653967,27.645830702468423
64,1.8399271034612004,28.33562386156436
65,1.164203009693754,23.985884061888942
66,0.9164815942921803,20.49236270922212
67,1.1737997438777714,16.955444148667336
68,2.3290091218605724,14.485390659969394
69,4.558171291835529,13.94913260801266
70,7.261887998069777,12.401050284367164
71,9.842975487069136,15.2619870404489
72,9.28267919236098,19.654684424757807
73,8.275599941838056,24.77696859480705
74,5.629289622402415,28.11493810740864
75,3.2575737827751348,27.37915430745423
76,1.8687573489166875,29.01476887259236
77,1.162430836913394,22.99252229621008
78,0.9312269965665121,18.740818481548644
79,1.1701734479133084,15.45363615944882
80,2.3448109264704144,13.576700974415848
81,4.5590284780687655,11.504212597945772
82,7.427874228889343,14.508405595164838
83,9.824629061981028,15.580286744756387
84,9.380992795076965,21.419590921575125
85,8.327313797741152,26.405744089145504
86,5.566907164864948,28.66858932402529
87,3.224462772417842,29.319763394945035
88,1.8253755936784861,26.856963179002864
89,1.154263057595745,24.86738153375581
90,0.9336404733346122,21.13844487446798
91,1.1600626022045573,16.322648256617583
92,2.3479044688405466,13.518581916837013
93,4.61517412771263,13.106878219262695
94,7.460228591669542,12.842436919998596
95,9.727720921724035,15.710266098042448
96,9.281192665856913,19.76177908677689
97,8.256477153444989,23.745708269568595
98,5.5392586170275955,27.34192430407188
99,3.233775313373324,27.85374534287875
100,1.8535979772166908,26.894841780302126
101,1.1780300005182436,23.22287169873145
102,0.9134551916579657,20.0442000372716
103,1.1662714989049265,15.439567778324808
104,2.2964708915808805,14.417246463606109
105,4.627586575955074,9.906478574576347
106,7.375206036293964,13.008556797796338
107,9.703556154628668,15.959386609256304
108,9.428670083243786,20.107213820581155
109,8.334799071913068,23.88499255543103
110,5.672349291591223,27.57065450390788
111,3.217287053621396,28.57075360107944
112,1.8602638345629454,26.178409082951628
113,1.157202586685649,24.308851728992355
114,0.9193968406018073,19.51322424137277
115,1.1667967311161278,16.657884004935344
116,2.309481068477322,12.79458576008973
117,4.682994005007244,11.13978591236338
118,7.372583163864469,11.994484830572752
119,9.773846513623006,15.122071145799628
