id_corrida,seed,asignacion,horizonte_meses,satisfaccion_riego_media,satisfaccion_riego_minima,energia_total_gwh,ingresos_totales_usd,riego_total_hm3,llenado_medio,llenado_minimo,satisfaccion_potrerillos,satisfaccion_carrizal,satisfaccion_nihuil,satisfaccion_agua_del_toro,energia_norm,score
100-el_nino-uniforme,100,uniforme,120,0.5391015284050434,0.3497872340425532,21121.83877169604,1689747101.7356832,22217.97638286797,0.6046602830037147,0.5830695448837345,0.8461974861693861,0.9956768598665198,0.9675950415495628,0.943140781061724,0.9758051278181152,0.7137829681702721
100-el_nino-estacional,100,estacional,120,0.4988060672012561,0.3302678571428571,21645.550089416043,1731644007.1532836,22549.095019835724,0.6455009781535864,0.5561493939498938,0.7692724566045709,0.9775919827579342,0.8882145928741,0.8863085102080548,1.0,0.6992836403207536
100-normal-uniforme,100,uniforme,120,0.4806374038408565,0.3340296669283796,5711.705603787285,456936448.30298287,19427.489135519885,0.3758472745758708,0.2181062959742951,0.785971943890618,0.8972384392465628,0.7381554665907882,0.8373872893248229,0.26387435663185665,0.39393218495725657
100-normal-estacional,100,estacional,120,0.4743818005105618,0.2152781726791386,4954.824836245441,396385986.8996352,20646.887084573984,0.3930064361641597,0.15950797055501,0.8118163333791041,0.8625265773999822,0.7089757896861684,0.7475685751895951,0.22890731886126497,0.37619200785084306
100-crisis-uniforme,100,uniforme,120,0.1131075255456914,0.0442596214278448,483.3122316644112,38664978.53315288,4075.1679639193553,0.1249790299508428,0.1065602302924308,0.1962337513581578,0.1901664594789918,0.1818854525007797,0.1695738664660634,0.022328479972460246,0.07679590731639893
100-crisis-estacional,100,estacional,120,0.0865923953320604,0.0,541.9230371032315,43353842.96825852,4016.3471402922223,0.1257435906078926,0.090345960995838,0.1542025098021058,0.1384638007021537,0.1335726097245739,0.1263878416144733,0.025036233076294694,0.061969930429754114
100-sequia_total-uniforme,100,uniforme,120,0.0275247615557792,0.0073072299006994,267.59907369403714,21407925.89552297,1114.2089580074494,0.107278875220978,0.0956254139163039,0.0587667265782668,0.0253162563444093,0.0311839018858549,0.0309331353794603,0.012362775378246645,0.021459967084766177
100-sequia_total-estacional,100,estacional,120,0.0237061799328249,0.0,269.35537821760016,21548430.257408008,1113.8710418394303,0.1010342857123307,0.0754119708298367,0.0516576929005686,0.0228502184510172,0.0239688138698541,0.0251531809258913,0.012443914666290048,0.01920127382621096
