mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Crisis Hidrica,Conviene Riego,Conviene Energia
13,1859.7183035477601,0.6689634185423597,313.951224503806,25116097.960304476,493.0,295.8,0.6,1087.935257307363,182.86541899181105,304.1585915999218,284.7590356486642,1.0,1.0,1.0,1.0,214.2541586738244,20.246708576017966,37.50535247074134,41.945004783222274,0,0,1
14,1835.2894731906622,0.660176069493044,240.0782277878796,19206258.223030366,470.0,282.0,0.6,1093.06123254255,172.84643265795123,292.2159340587326,277.1658739314282,1.0,1.0,1.0,1.0,164.34459322464969,15.41965207192695,28.599911003474425,31.714071487828527,0,0,1
15,1813.3207382159133,0.6522736468402566,134.06530083906262,10725224.06712501,314.0,175.16491065296995,0.5578500339266559,1097.567879875887,164.06881297986865,281.3443920439342,270.3396533162234,0.8739515300282852,1.0,1.0,1.0,94.29943272300451,8.120948279750511,15.49914367775171,16.145776158555865,0,0,1
16,1793.5842371150652,0.6451741860126133,65.71163037052767,5256930.429642214,180.0,93.07437659246789,0.5170798699581549,1101.5385900699198,156.3835130030672,271.4549139187794,264.2072201232987,0.7571112945114495,1.0,0.9774165975500592,1.0,46.75515935015081,3.9267703144208896,7.839487961333556,7.190212744622416,0,0,1
17,1775.992283060036,0.6388461449856244,46.05465752706451,3684372.602165161,155.0,69.7523388098629,0.4500150890958897,1105.0909900939585,149.68521380440595,262.4944935158423,258.7215856458294,0.6189643406354637,1.0,0.8626936610635645,0.9111979254398077,33.30179399551647,2.3677565759116734,5.71955130962474,4.66555564601163,0,0,1
18,1761.0041795444167,0.6334547408433153,34.24671672643285,2739737.338114628,155.0,59.302604934443465,0.38259745118995786,1108.5330573546826,143.99800217388218,254.5454851938745,253.9276348219774,0.5,1.0,0.8526305253878989,0.6751656321450114,26.93798305254801,0.9086846889342443,2.979969511382949,3.420079473567646,0,0,1
19,1738.8794725215366,0.6254962131372434,48.12771709403374,3850217.3675226998,224.0,81.86839765360797,0.36548391809646413,1102.3499627414164,139.21716640925365,247.54109834297466,249.77124502789178,0.5,0.9036692224007054,0.7517374644581979,0.65,38.60912011792863,1.0452236945703317,3.7494246341811652,4.723948647353609,0,0,1
20,1711.5478170024944,0.6156646823749979,94.05229547751394,7524183.638201115,359.0,157.68767184359174,0.43924142574816644,1090.663528730131,135.1659937697473,241.32470015521082,244.3935943474053,0.6050317419823662,1.0,0.9127765710375718,0.8110754673964068,74.40398428354749,3.088377392826651,7.27165650821479,9.288277292925011,0,0,1
21,1705.21081515809,0.6133851853086655,176.75348922489428,14140279.137991544,449.0,248.54112360940914,0.5535437051434502,1096.3045850331664,131.7220628399888,235.7899324749335,241.39423481000125,0.8609408240627276,1.0,1.0,1.0,132.6412091009645,8.502498704909016,16.453341397041314,19.156440021979467,0,0,1
22,1699.9634792263676,0.611497654397974,252.9363246003526,20234905.968028206,515.0,309.0,0.6,1101.5030317138996,128.80875348252619,230.87427772633833,238.77741630360347,1.0,1.0,1.0,1.0,196.0611944740151,8.963534869289042,15.70902006882261,32.20257518822584,0,0,1
23,1763.2367529838898,0.6342578248143489,413.2455444984888,33059643.559879106,470.0,282.0,0.6,1105.9819279639014,152.38118593099128,266.02296495356353,238.85067413543348,1.0,1.0,1.0,1.0,332.93782471915546,15.75454941174617,29.815120061037966,34.738050306549184,0,0,1
24,1926.6237000983879,0.6930301079490604,563.055676990537,45044454.15924296,449.0,269.4,0.6,1109.8575637849522,194.9004628128816,319.18120719683486,302.6844663037193,1.0,1.0,1.0,1.0,416.4176955051392,28.891640046927623,53.41587902898921,64.3304624094809,0,0,1
25,2028.9393500133133,0.7298342985659401,316.5340331125303,25322722.649002425,493.0,295.8,0.6,1113.1119851175454,221.2887895756657,352.1816161105852,342.356959209517,1.0,1.0,1.0,1.0,205.1699657398952,23.265325897496194,41.35319206936659,46.745549405772316,0,0,1
26,1986.5268328946427,0.7145779974441161,209.12405507724293,16729924.406179434,470.0,254.75849963700068,0.5420393609297887,1115.6343265682572,206.38237984472477,335.78028099555337,328.72984548610737,0.8580781805025071,1.0,1.0,0.9066024557198216,139.6127137602701,14.173962919431407,25.095984604800545,30.24139379274088,0,0,1
27,1948.6476254149748,0.7009523832427966,101.2791708356946,8102333.666855567,314.0,133.1989286712347,0.42420040978100226,1117.857941259034,193.36927438450533,320.8965754101548,316.52383436128054,0.623674012270396,1.0,0.8136014696429317,0.6990372232340103,67.83817277403074,5.44126300898385,12.734158771411952,15.265576281268057,0,0,1
28,1914.3074087840305,0.688599787332385,71.73142664389438,5738514.13151155,180.0,90.52559312773742,0.5029199618207635,1119.6285834863388,181.90048996368807,307.2686881821063,305.5096471518972,0.7531439303759828,1.0,1.0,0.8694586914303171,46.84465782379433,4.935229122436791,9.247665688817268,10.703874008845995,0,0,1
29,1884.0046781079707,0.6776995244992701,38.45493101171845,3076394.4809374763,155.0,59.508134301340625,0.38392344710542337,1121.3316808294992,171.9708177571398,294.99576502358354,295.7064144977482,0.5,1.0,0.7405760831511246,0.7719844829738958,27.07467235125905,1.7705765952691972,5.331137108217583,4.278544956972619,0,0,1
30,1849.053089022741,0.6651270104398349,37.40397166980511,2992317.7335844086,155.0,58.184011468314225,0.3753807191504144,1114.6025958941473,163.42819199606785,284.0016914017733,287.0206097307524,0.5,0.979216798635508,0.7039424415732551,0.735859763992246,27.002805724149493,1.4637741075389814,4.9319918732931525,4.005399964823484,0,0,1
31,1815.764949338153,0.6531528594741558,50.171872881464154,4013749.830517132,224.0,73.97999999999999,0.3302678571428571,1106.0278942154887,156.14385921281254,274.22178229728155,279.3714136125703,0.5,0.7,0.5,0.65,38.66555734227216,1.4934262428958225,4.9709806232975025,5.041908672998674,0,0,1
32,1744.4034780196992,0.6274832654747119,80.50613190139563,6440490.552111651,359.0,129.83773155408326,0.36166499040134614,1065.5158589439868,149.09970859554514,265.2117552782402,264.5761552019269,0.5,0.975803289977906,0.603554073184185,0.6862578485389793,60.87025143338339,1.8859560757901337,9.525898482211437,8.224025910010683,0,0,1
33,1728.3440194158475,0.6217064818042617,144.42047549875647,11553638.039900517,449.0,216.3824938614382,0.4819209217403969,1067.4487163324245,143.91671087747565,257.490796450896,259.48779575505125,0.7104502085036809,1.0,0.8160428125180677,0.9521685098746318,108.19749305987023,6.303461107540942,15.773747936824105,14.145773394521195,0,0,1
34,1720.7102661291656,0.618960527384592,244.3257227166862,19546057.817334894,515.0,309.0,0.6,1075.7293811323068,139.4517493836766,250.55392051812112,254.97521509506112,1.0,1.0,1.0,1.0,178.2725676011479,11.384423260204331,22.34302602920248,32.32570582613149,0,0,1
35,1741.2597257493683,0.6263524193343052,386.4851476073956,30918811.80859165,470.0,282.0,0.6,1083.0893967608567,147.42875390938522,259.8219596021056,250.91961547702076,1.0,1.0,1.0,1.0,304.9312506808352,14.473582448694007,27.47608055168561,39.60423392618078,0,0,1
36,1875.1485863248804,0.6745138799729785,507.4865367481493,40598922.93985195,449.0,269.4,0.6,1089.5240465696131,186.61338349206255,308.8130653165114,290.1980909466932,1.0,1.0,1.0,1.0,374.3581413114379,26.171951812134573,48.637793351566636,58.31865027301017,0,0,1
37,1960.4534585910628,0.7051990858241233,343.16307605127133,27453046.084101703,493.0,295.8,0.6,1094.727841700148,207.90058629982173,335.4612211985748,322.36380939251825,1.0,1.0,1.0,1.0,226.95370190708618,23.92755916277878,43.20978858394699,49.07202639745936,0,0,1
38,1925.3660283705644,0.6925777080469656,182.2478819173786,14579830.553390289,470.0,231.40555492197333,0.4923522445148369,1099.195457806529,194.70758569189195,320.6240175128386,310.8389673593049,0.7658024385208422,1.0,0.9091633777546945,0.8092338214792689,123.78929641667395,10.906612730403719,21.489488319649833,26.06248445065109,0,0,1
39,1893.7063036379561,0.68118931785538,127.99561094215383,10239648.875372306,314.0,169.1800796495248,0.5387900625781045,1103.0400447028137,183.1208459405537,307.0820085101619,300.46340448442675,0.8169531395192838,1.0,1.0,1.0,88.34137974308376,8.29453009126365,15.428978228635152,15.930722879171258,0,0,1
40,1865.1055954265414,0.6709012933188998,83.41902668553361,6673522.134842688,180.0,101.25192920123314,0.5625107177846286,1106.3328292519186,172.9373635770118,294.71706302554486,291.11833957206613,0.8875321533538858,1.0,1.0,1.0,54.91372525979963,5.8388429787825595,11.111617932679705,11.55484051427172,0,0,1
41,1839.8748004608747,0.6618254677916815,38.51859762541571,3081487.8100332567,155.0,60.37593669285394,0.3895221722119609,1109.3787119690053,164.11800743483093,283.57720168440017,282.8008793726382,0.5,1.0,0.7671095556838822,0.8017293424038331,26.94701464382898,1.8773904119919307,5.368857625645738,4.325334943949065,0,0,1
42,1816.5672815270134,0.6534414681751847,40.1317501438307,3210540.011506456,155.0,62.558017678479715,0.40360011405470786,1110.856425280001,156.5826856735498,273.65421850199317,275.4739520714694,0.5279520794943977,1.0,0.7845219963796304,0.8300706193483356,28.47012909112872,1.898290307112817,5.3544930155556845,4.4088377300334765,0,0,1
43,1797.626668602491,0.64662829805845,50.22342107408736,4017873.6859269887,224.0,77.83177092755486,0.3474632630694413,1113.8203921601364,150.08753528091117,264.7448825286287,268.9738586328147,0.5,0.8787019600446325,0.5610021628586132,0.65,38.785131879698646,1.0659352939197282,5.4421340118956945,4.930219888573293,0,0,1
44,1754.1619836438954,0.6309935192963653,89.59215147663184,7167372.118130547,359.0,141.23553138547686,0.39341373644979627,1092.2074209004052,144.66387189746666,256.9394191507107,260.3512716953128,0.5513463470070008,1.0,0.6594686739014435,0.7586703263410878,67.84380237759923,2.558290760244267,10.18275091146877,9.007307427319574,0,0,1
45,1743.3536689436974,0.6271056363106825,171.11868910780095,13689495.128624076,449.0,243.84495790672077,0.5430845387677523,1097.7050285841788,140.01389832384754,249.95385985868316,255.68088217698795,0.8296330527114719,1.0,1.0,1.0,127.88907799169404,8.387056169616487,16.24623607412825,18.596318872362186,0,0,1
46,1733.9928178406292,0.6237384236836796,288.87665536474975,23110132.429179978,515.0,309.0,0.6,1102.7283456040232,136.02236657185523,243.6932745341875,251.54883113056334,1.0,1.0,1.0,1.0,221.04996894192624,10.583816127780524,19.96034681160953,37.282523483433465,0,0,1
47,1797.5249010643652,0.6465916910303472,508.8068553810115,40704548.43048092,470.0,282.0,0.6,1107.203596140161,161.2157620474394,277.0571593087716,252.04838356799328,1.0,1.0,1.0,1.0,416.46726357190494,18.140826123427058,34.12852783182363,40.07023785385586,0,0,1
48,2037.993660161767,0.7330912446625061,370.4841295685077,29638730.365480617,449.0,269.4,0.6,1111.0172178908206,224.29889185425242,355.92441450602985,346.7531359106642,1.0,1.0,1.0,1.0,241.37429970743457,26.76409507154476,47.542959689379394,54.80277510014897,0,0,1
49,1995.863026879733,0.7179363406042205,296.74945939217645,23739956.751374118,493.0,295.8,0.6,1114.2382625653222,209.27882686283823,339.47847924049654,332.8674582110761,1.0,1.0,1.0,1.0,194.34816839884135,21.034659888799847,38.04960726109284,43.31702384344241,0,0,1
50,1957.142337466313,0.7040080350598248,202.20814303171767,16176651.442537414,470.0,250.2554051261997,0.5324583087791482,1116.672046560473,195.92983678574288,324.28795415710783,320.25249996298913,0.8404816009364133,1.0,0.9864436170996148,0.8841817780555161,136.80578439145745,12.879224112682572,23.511621582942837,29.011512944634802,0,0,1
51,1921.9957853910987,0.6913653904284528,128.05290134815124,10244232.107852098,314.0,161.59289048018792,0.5146270397458214,1118.608829484528,184.15581303431213,310.36804280938617,308.86310006287226,0.795973627058774,1.0,0.9851348401161721,0.8592378236124293,86.60519964754526,7.919788358553872,15.047665841790351,18.48024750026176,0,0,1
52,1890.8951895243474,0.6801781257281825,63.729771459309646,5098381.716744771,180.0,89.63396415841926,0.49796646754677365,1120.4302041521914,173.94275719488502,297.8110355489073,298.7111926283636,0.7044988086241443,1.0,0.9592330539083722,1.0,43.832854395891246,4.111025405885559,8.216504205667324,7.569387451865517,0,0,1
53,1863.0374775064656,0.67015736600952,47.19222342016104,3775377.8736128835,155.0,70.32586395145101,0.45371525129968393,1122.0132743971303,165.01332170522318,286.4022837126668,289.6085976914454,0.6077871206079557,1.0,0.8904498517544535,0.9566343800320084,32.920122974146025,2.7606239858344646,6.276115450844395,5.235361009336162,0,0,1
54,1838.6679599192394,0.661391352488935,37.30071539459016,2984057.231567213,155.0,58.075248306374995,0.3746790213314516,1123.6113716045975,157.33325248031502,276.18074005945135,281.5425957748755,0.5,0.9668621143617568,0.700953487567088,0.7391188910344547,27.0990194487371,1.4096415793706305,4.815115436119565,3.976938930362871,0,0,1
55,1809.6306180100084,0.650946265471226,50.51074433645214,4040859.5469161714,224.0,78.3204749362088,0.34964497739378925,1117.2252390359242,150.8202279128262,267.12268907126753,274.4624619899906,0.5,0.8958080674390964,0.5730913502407478,0.65,38.83737866796504,1.0900939219853536,5.5940942050620235,4.989177541439722,0,0,1
56,1768.7217719665302,0.6362308532253705,80.83072236548773,6466457.789239019,359.0,128.6525149298465,0.35836355133661973,1097.7045460822023,145.34418386192476,259.14105490099894,266.53198712140426,0.5,0.954178447587617,0.590872978017644,0.679527245611771,61.66053920036303,1.8143948283365412,9.177383947571505,8.178404389216645,0,0,1
57,1750.5702910994764,0.6297015435609628,176.78093461964954,14142474.769571964,449.0,246.68745221178244,0.5494152610507405,1096.8174116720577,140.60205180918678,251.94353588632382,261.2072917319083,0.8485830147452164,1.0,1.0,1.0,130.76400882736655,8.811939518087991,17.15369819535532,20.05128807883967,0,0,1
58,1740.748467146034,0.6261685133618827,317.9363236730875,25434905.893846996,515.0,309.0,0.6,1102.044073023823,136.59749717632707,245.56659752287726,256.5402994230067,1.0,1.0,1.0,1.0,247.28337467030528,10.716719742669712,20.60351390251269,39.33271535759984,0,0,1
59,1831.375081390972,0.6587680148888388,240.11815307040058,19209452.24563205,470.0,282.0,0.6,1106.4305174146846,170.42711005992163,288.582873467985,265.93458044838064,1.0,1.0,1.0,1.0,166.11099588452433,15.209634553043369,28.237629230127265,30.559893402705615,0,0,1
60,1812.0259549377326,0.6518078974596161,437.93378705953296,35034702.964762636,449.0,269.4,0.6,1110.353031314206,162.43643613414972,278.58830409558743,260.6481833937895,1.0,1.0,1.0,1.0,338.3605361730753,18.889434987898163,35.68485437772785,44.99896152083169,0,0,1
61,1925.9623671835002,0.692792218411331,289.03858066283635,23123086.45302691,493.0,295.8,0.6,1113.4743342455736,193.72089453329457,317.7275008006285,301.0396376040035,1.0,1.0,1.0,1.0,194.47379603741226,19.476747397052875,35.5655394826157,39.522497745755544,0,0,1
62,1894.8498608410753,0.6816006693672932,228.97200022129485,18317760.01770359,470.0,276.04153080980706,0.5873224059783129,1116.043306928375,182.39744561370068,304.6109312006363,291.79817709836334,0.962096251970783,1.0,1.0,1.0,156.5621760971512,14.947380541876381,27.361206154029507,30.101237428237773,0,0,1
63,1866.7058520721876,0.6714769252058229,127.61256812703122,10209005.450162498,314.0,170.38572169558728,0.5426296869286219,1118.1833937694882,172.43639760270042,292.6235512747928,283.462509425206,0.8284354447198791,1.0,1.0,1.0,90.12203570232413,7.782845458161428,14.675200708224477,15.032486258321192,0,0,1
