mes,entrada_agua_hm3,temperatura_c
0,676.29239515189,20.30047849277771
1,722.1874315165378,23.58087743082124
2,489.4281307287487,27.915766639459324
3,212.6061495709092,29.07877039458127
4,135.353586051328,27.08351323718793
5,85.54651573109149,23.646987344024915
6,59.70174838029763,19.46783280716952
7,89.54079494964661,16.572397559269888
8,184.275574177896,12.798537697085717
9,369.07596020917475,12.080084137086487
10,525.4302703669663,13.72958715829347
11,555.9370159053404,15.544548141888532
12,758.4498252515918,20.36357203158722
13,638.399819862103,25.617546193255173
14,543.0502530520757,26.69551548427218
15,319.4302100588773,27.52091935635448
16,164.54813793996422,27.47827162336768
17,120.44876183885097,23.669990107946468
18,89.81362389736027,19.23883586609111
19,122.10599743910795,16.320449291332903
20,256.29242849266734,14.12393423836224
21,444.1516231684284,11.896635090447267
22,617.6181286439393,14.296507964886407
23,812.8335061859108,16.12573614656313
24,934.3300207252473,19.12582820061517
25,617.6101722300691,24.65130232587661
26,461.26327676174793,25.095649823675817
27,229.68028718492675,28.19629518547808
28,161.83530241616856,26.47741425445058
29,89.57481385485792,23.62712557442758
30,87.44379915445893,19.550011901677856
31,93.12022226409958,14.032250508592064
32,210.48874569734082,12.941261555759445
33,371.9679460202835,11.602528122297691
34,594.5357533150652,12.203443074815375
35,774.5103258911718,14.267190286645874
36,873.5122590800954,22.097664759522083
37,657.3548805688349,24.726982185995418
38,414.6549650203028,26.855719129956807
39,298.90017233808214,28.911270817541748
40,190.12363711619693,27.44748183333042
41,97.78067857132044,23.61378943321082
42,104.0009111391869,21.76117752894742
43,112.14245418160513,15.79179201908964
44,234.6544623146937,13.833083258853868
45,428.34914931762677,12.27579917209106
46,657.778990198084,12.49134989447291
47,947.3992428998467,15.159937642852269
48,651.5127841526316,17.844920124289306
49,599.9075144880104,24.209281213158537
50,451.9325661521689,27.620347677618017
51,289.9054825226103,26.333405491087127
52,152.02122547525948,26.97705007845343
53,116.7084577234893,24.362879003399
54,89.65003326538712,19.802369058005574
55,114.16201248824729,14.752934885272522
56,207.73982466184322,13.956558171255
57,437.9183071952015,10.716263868971172
58,700.4204038543523,14.797178616608036
59,543.0700254650588,14.77611077275416
60,808.1881298579767,20.276526802053755
61,600.285689823553,23.435919998518315
62,515.7253530694675,25.669002795196675
63,301.3122577719059,29.98004260896881
64,181.3649413710084,25.513513832939974
65,106.87001283655906,23.645830702468423
66,92.69970749869478,21.40742063128885
67,133.3963214967661,15.985884061888948
68,212.95134039875165,13.564159478946616
69,476.717182711976,12.955444148667333
70,670.3650840446876,14.48539065996939
71,654.202045862357,17.949132608012658
72,497.1827109255333,19.329253514642676
73,694.7451676152539,23.261987040448904
74,397.9185354448708,26.582887655033318
75,208.3194457160309,28.77696859480705
76,157.12734081951783,28.11493810740864
77,88.25495582281208,23.37915430745423
78,79.89255075486386,22.08656564231685
79,97.4187706086744,14.992522296210083
80,186.51797686216435,11.812615251273138
81,364.3053310240261,11.453636159448816
82,571.8476128399763,13.576700974415846
83,476.3746625182922,15.504212597945768
84,670.8342068112366,21.436608825440345
85,663.3686270996714,23.58028674475639
86,475.47151121074825,28.347794151850632
87,239.1074279702543,30.405744089145504
88,144.08967436584217,28.66858932402529
89,81.63380909748506,25.319763394945035
90,61.5809691698469,19.928759948727357
91,91.05818216186869,16.867381533755815
92,198.05917605845207,14.21024164419247
93,349.1077995044559,12.322648256617578
94,622.8177342294248,13.518581916837013
95,645.3587976975593,17.10687821926269
96,822.2727653027163,19.770640150274104
97,688.9475181851298,23.710266098042453
98,509.1549139570397,26.6899823170524
99,266.11058154601204,27.745708269568595
100,165.96622172828975,27.34192430407188
101,103.43894354614226,23.85374534287875
102,90.31395677428367,19.966638550026616
103,132.95678197728955,15.222871698731456
104,190.40293270809659,13.115996806996089
105,444.7774821513492,11.439567778324804
106,585.5262433373586,14.417246463606109
107,815.6443349337798,13.906478574576346
108,812.8131728295303,19.93676002807185
109,748.9200250788589,23.95938660925631
110,603.7756227936055,27.035417050856665
111,303.15339854497466,27.88499255543103
112,212.76829153948654,27.57065450390788
113,101.45081956334658,24.57075360107944
114,97.75128725714794,19.25020585267612
115,120.12080382413113,16.30885172899236
116,213.00368355960362,12.58502101109727
117,455.5419620965754,12.65788400493534
118,631.6044221604486,12.794585760089728
119,927.4963713467321,15.139785912363378
